Unicode,Char,Name,Ascender,Descender,Symmetry,Bouba_Score
U+0111,đ,LATIN SMALL LETTER D WITH STROKE,True,False,Symmetrical,0.529
U+0112,Ē,LATIN CAPITAL LETTER E WITH MACRON,True,False,Right-Pointing,0.0
U+0113,ē,LATIN SMALL LETTER E WITH MACRON,True,False,Symmetrical,0.731
U+0114,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,True,False,Right-Pointing,0.4
U+0115,ĕ,LATIN SMALL LETTER E WITH BREVE,True,False,Symmetrical,0.844
U+0116,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE,True,False,Right-Pointing,0.421
U+0117,ė,LATIN SMALL LETTER E WITH DOT ABOVE,True,False,Symmetrical,0.871
U+0118,Ę,LATIN CAPITAL LETTER E WITH OGONEK,True,True,Right-Pointing,0.48
U+0119,ę,LATIN SMALL LETTER E WITH OGONEK,False,True,Symmetrical,0.857
U+011A,Ě,LATIN CAPITAL LETTER E WITH CARON,True,False,Right-Pointing,0.4
U+011B,ě,LATIN SMALL LETTER E WITH CARON,True,False,Symmetrical,0.784
U+011C,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,True,False,Symmetrical,0.763
U+011D,ĝ,LATIN SMALL LETTER G WITH CIRCUMFLEX,True,True,Left-Pointing,0.733
U+011E,Ğ,LATIN CAPITAL LETTER G WITH BREVE,True,False,Symmetrical,0.818
U+011F,ğ,LATIN SMALL LETTER G WITH BREVE,True,True,Left-Pointing,0.775
U+0120,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,True,False,Symmetrical,0.844
U+0121,ġ,LATIN SMALL LETTER G WITH DOT ABOVE,True,True,Left-Pointing,0.795
U+0122,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,True,True,Symmetrical,0.758
U+0123,ģ,LATIN SMALL LETTER G WITH CEDILLA,True,True,Left-Pointing,0.725
U+0124,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,True,False,Symmetrical,0.4
U+0125,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX,True,False,Symmetrical,0.6
U+0126,Ħ,LATIN CAPITAL LETTER H WITH STROKE,True,False,Symmetrical,0.0
U+0127,ħ,LATIN SMALL LETTER H WITH STROKE,True,False,Symmetrical,0.36
U+0128,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,True,False,Symmetrical,0.538
U+0129,ĩ,LATIN SMALL LETTER I WITH TILDE,True,False,Symmetrical,0.778
U+012A,Ī,LATIN CAPITAL LETTER I WITH MACRON,True,False,Symmetrical,0.0
U+012B,ī,LATIN SMALL LETTER I WITH MACRON,True,False,Symmetrical,0.0
U+012C,Ĭ,LATIN CAPITAL LETTER I WITH BREVE,True,False,Symmetrical,0.4
U+012D,ĭ,LATIN SMALL LETTER I WITH BREVE,True,False,Symmetrical,0.667
U+012E,Į,LATIN CAPITAL LETTER I WITH OGONEK,True,True,Symmetrical,0.48
U+012F,į,LATIN SMALL LETTER I WITH OGONEK,True,True,Left-Pointing,0.8
U+0130,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE,True,False,Symmetrical,0.421
U+0131,ı,LATIN SMALL LETTER DOTLESS I,False,False,Symmetrical,0.0
U+0132,Ĳ,LATIN CAPITAL LIGATURE IJ,True,True,Left-Pointing,0.375
U+0133,ĳ,LATIN SMALL LIGATURE IJ,True,True,Symmetrical,0.774
U+0134,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,True,True,Symmetrical,0.704
U+0135,ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX,True,True,Symmetrical,0.692
U+0136,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA,True,True,Right-Pointing,0.364
U+0137,ķ,LATIN SMALL LETTER K WITH CEDILLA,True,True,Right-Pointing,0.423
U+0138,ĸ,LATIN SMALL LETTER KRA,False,False,Right-Pointing,0.25
U+0139,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE,True,False,Right-Pointing,0.429
U+013A,ĺ,LATIN SMALL LETTER L WITH ACUTE,True,False,Right-Pointing,0.5
U+013B,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA,True,True,Right-Pointing,0.429
U+013C,ļ,LATIN SMALL LETTER L WITH CEDILLA,True,True,Symmetrical,0.5
U+013D,Ľ,LATIN CAPITAL LETTER L WITH CARON,True,False,Right-Pointing,0.429
U+013E,ľ,LATIN SMALL LETTER L WITH CARON,True,False,Right-Pointing,0.5
U+013F,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT,True,False,Right-Pointing,0.615
U+0140,ŀ,LATIN SMALL LETTER L WITH MIDDLE DOT,True,False,Right-Pointing,0.727
U+0141,Ł,LATIN CAPITAL LETTER L WITH STROKE,True,False,Right-Pointing,0.0
U+0142,ł,LATIN SMALL LETTER L WITH STROKE,True,False,Symmetrical,0.0
U+0143,Ń,LATIN CAPITAL LETTER N WITH ACUTE,True,False,Symmetrical,0.44
U+0144,ń,LATIN SMALL LETTER N WITH ACUTE,True,False,Symmetrical,0.52
U+0145,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA,True,True,Symmetrical,0.44
U+0146,ņ,LATIN SMALL LETTER N WITH CEDILLA,False,True,Symmetrical,0.52
U+0147,Ň,LATIN CAPITAL LETTER N WITH CARON,True,False,Symmetrical,0.5
U+0148,ň,LATIN SMALL LETTER N WITH CARON,True,False,Symmetrical,0.567
U+0149,ŉ,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE,True,False,Symmetrical,0.522
U+014A,Ŋ,LATIN CAPITAL LETTER ENG,True,True,Symmetrical,0.538
U+014B,ŋ,LATIN SMALL LETTER ENG,False,True,Left-Pointing,0.625
U+014C,Ō,LATIN CAPITAL LETTER O WITH MACRON,True,False,Symmetrical,0.87
U+014D,ō,LATIN SMALL LETTER O WITH MACRON,True,False,Symmetrical,0.857
U+014E,Ŏ,LATIN CAPITAL LETTER O WITH BREVE,True,False,Symmetrical,0.966
U+014F,ŏ,LATIN SMALL LETTER O WITH BREVE,True,False,Symmetrical,0.963
U+0150,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,True,False,Symmetrical,0.838
U+0151,ő,LATIN SMALL LETTER O WITH DOUBLE ACUTE,True,False,Symmetrical,0.829
U+0152,Œ,LATIN CAPITAL LIGATURE OE,True,False,Symmetrical,0.556
U+0153,œ,LATIN SMALL LIGATURE OE,False,False,Symmetrical,0.892
U+0154,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE,True,False,Right-Pointing,0.536
U+0155,ŕ,LATIN SMALL LETTER R WITH ACUTE,True,False,Right-Pointing,0.6
U+0156,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA,True,True,Right-Pointing,0.536
U+0157,ŗ,LATIN SMALL LETTER R WITH CEDILLA,False,True,Right-Pointing,0.6
U+0158,Ř,LATIN CAPITAL LETTER R WITH CARON,True,False,Right-Pointing,0.576
U+0159,ř,LATIN SMALL LETTER R WITH CARON,True,False,Right-Pointing,0.633
U+015A,Ś,LATIN CAPITAL LETTER S WITH ACUTE,True,False,Symmetrical,0.872
U+015B,ś,LATIN SMALL LETTER S WITH ACUTE,True,False,Symmetrical,0.872
U+015C,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,True,False,Symmetrical,0.864
U+015D,ŝ,LATIN SMALL LETTER S WITH CIRCUMFLEX,True,False,Symmetrical,0.864
U+015E,Ş,LATIN CAPITAL LETTER S WITH CEDILLA,True,True,Symmetrical,0.867
U+015F,ş,LATIN SMALL LETTER S WITH CEDILLA,False,True,Symmetrical,0.867
U+0160,Š,LATIN CAPITAL LETTER S WITH CARON,True,False,Symmetrical,0.864
U+0161,š,LATIN SMALL LETTER S WITH CARON,True,False,Symmetrical,0.864
U+0162,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA,True,True,Symmetrical,0.5
U+0163,ţ,LATIN SMALL LETTER T WITH CEDILLA,True,True,Symmetrical,0.556
U+0164,Ť,LATIN CAPITAL LETTER T WITH CARON,True,False,Symmetrical,0.476
U+0165,ť,LATIN SMALL LETTER T WITH CARON,True,False,Right-Pointing,0.5
U+0166,Ŧ,LATIN CAPITAL LETTER T WITH STROKE,True,False,Symmetrical,0.0
U+0167,ŧ,LATIN SMALL LETTER T WITH STROKE,True,False,Symmetrical,0.31
U+0168,Ũ,LATIN CAPITAL LETTER U WITH TILDE,True,False,Symmetrical,0.793
U+0169,ũ,LATIN SMALL LETTER U WITH TILDE,True,False,Symmetrical,0.7
U+016A,Ū,LATIN CAPITAL LETTER U WITH MACRON,True,False,Symmetrical,0.529
U+016B,ū,LATIN SMALL LETTER U WITH MACRON,True,False,Symmetrical,0.389
U+016C,Ŭ,LATIN CAPITAL LETTER U WITH BREVE,True,False,Symmetrical,0.739
U+016D,ŭ,LATIN SMALL LETTER U WITH BREVE,True,False,Symmetrical,0.625
U+016E,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE,True,False,Symmetrical,0.833
U+016F,ů,LATIN SMALL LETTER U WITH RING ABOVE,True,False,Symmetrical,0.742
U+0170,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,True,False,Symmetrical,0.645
U+0171,ű,LATIN SMALL LETTER U WITH DOUBLE ACUTE,True,False,Symmetrical,0.562
U+0172,Ų,LATIN CAPITAL LETTER U WITH OGONEK,True,True,Symmetrical,0.75
U+0173,ų,LATIN SMALL LETTER U WITH OGONEK,False,True,Symmetrical,0.655
U+0174,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,True,False,Symmetrical,0.59
U+0175,ŵ,LATIN SMALL LETTER W WITH CIRCUMFLEX,True,False,Symmetrical,0.548
U+0176,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,True,False,Symmetrical,0.455
U+0177,ŷ,LATIN SMALL LETTER Y WITH CIRCUMFLEX,True,True,Symmetrical,0.647
U+0178,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS,True,False,Symmetrical,0.667
U+0179,Ź,LATIN CAPITAL LETTER Z WITH ACUTE,True,False,Symmetrical,0.333
U+017A,ź,LATIN SMALL LETTER Z WITH ACUTE,True,False,Symmetrical,0.333
U+017B,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE,True,False,Symmetrical,0.471
